State,Capital city,Second city,Third city,Statehood,Capital since,Capital rank
Alabama,Montgomery,Huntsville,Birmingham,1819,1846,3
Alaska,Juneau,Anchorage,Fairbanks,1959,1906,3
Arizona,Phoenix,Tucson,Mesa,1912,1889,1
Arkansas,Little Rock,Fayetteville,Fort Smith,1836,1821,1
California,Sacramento,San Diego,San Francisco,1850,1854,6
Colorado,Denver,Colorado Springs,Aurora,1876,1867,1
Connecticut,Hartford,Bridgeport,Stamford,1788,1875,3
Delaware,Dover,Wilmington,Newark,1787,1777,2
Florida,Tallahassee,Miami,Tampa,1845,1824,7
Georgia,Atlanta,Milledgeville,Augusta,1788,1868,1
Hawaii,Honolulu,Hilo,Pearl City,1959,1845,1
Idaho,Boise,Meridian,Nampa,1890,1865,1
Illinois,Springfield,Chicago,Aurora,1818,1837,6
Indiana,Indianapolis,Fort Wayne,Evansville,1816,1825,1
Iowa,Des Moines,Cedar Rapids,Davenport,1846,1857,1
Kansas,Topeka,Wichita,Overland Park,1861,1856,4
Kentucky,Frankfort,Lexington-Fayette,Owensboro,1792,1792,15
Louisiana,Baton Rouge,New Orleans,Shreveport,1812,1880,2
Maine,Augusta,Lewiston,Bangor,1820,1832,8
Maryland,Annapolis,Baltimore,Columbia,1788,1694,7
Massachusetts,Boston,Worcester,Springfield,1788,1630,1
Michigan,Lansing,Detroit,Grand Rapids City,1837,1847,5
Minnesota,Saint Paul,Minneapolis,Rochester,1858,1849,2
Mississippi,Jackson,Gulfport,Southaven,1817,1821,1
Missouri,Jefferson City,St. Louis, Springfield,1821,1826,15
Montana,Helena, Bozeman, Billings,1889,1875,6
Nebraska,Lincoln, Omaha, Grand Island,1867,1867,2
Nevada,Carson City, Henderson, Reno,1864,1861,6
New Hampshire,Concord, Manchester, Portsmouth,1788,1808,3
New Jersey,Trenton, Newark, Atlantic City,1787,1784,10
New Mexico,Santa Fe, Albuquerque, Roswell,1912,1610,4
New York,Albany, Buffalo, Rochester,1788,1797,6
North Carolina,Raleigh, Charlotte, Greensboro,1789,1792,2
North Dakota,Bismarck, Fargo, Grand Forks,1889,1883,2
Ohio,Columbus, Cincinnati, Akron,1803,1816,1
Oklahoma,Oklahoma City, Tulsa, Norman,1907,1910,1
Oregon,Salem, Portland, Eugene,1859,1855,3
Pennsylvania,Harrisburg, Philadelphia, Pittsburgh,1787,1812,9
Rhode Island,Providence, Newport, Warwick,1790,1900,1
South Carolina,Columbia, Myrtle Beach, Greenville,1788,1786,2
South Dakota,Pierre, Sioux Falls, Rapid City,1889,1889,8
Tennessee,Nashville, Memphis, Chattanooga,1796,1826,1
Texas,Austin, Houston, Dallas,1845,1839,4
Utah,Salt Lake City, St. George, Ogden,1896,1858,1
Vermont,Montpelier, Burlington, Woodstock,1791,1805,6
Virginia,Richmond, Norfolk, Williamsburg,1788,1780,4
Washington,Olympia, Seattle, Spokane,1889,1853,24
West Virginia,Charleston, Morgantown, Huntington,1863,1885,1
Wisconsin,Madison, Milwaukee, Green Bay,1848,1838,2
Wyoming,Cheyenne, Jackson, Casper,1890,1869,1